,Tweets,Tweets_token,rating_description_str,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
0,"BPC, ITPF join hands to celebrate India National Tourism Day #URL# #URL#","['BPC,', 'ITPF', 'join', 'hands', 'to', 'celebrate', 'India', 'National', 'Tourism', 'Day', '#URL#', '#URL#']","BPC, ITPF join hands to celebrate India National Tourism Day #URL# #URL#","['bpc', ',', 'itpf', 'join', 'hands', 'to', 'celebrate', 'india', 'national', 'tourism', 'day', '#', 'url', '#', '#', 'url', '#']","['bpc', 'itpf', 'join', 'hands', 'to', 'celebrate', 'india', 'national', 'tourism', 'day', 'url', 'url']","['bpc', 'itpf', 'join', 'hands', 'to', 'celebrate', 'india', 'national', 'tourism', 'day']","[('bpc', 'NN'), ('itpf', 'NN'), ('join', 'NN'), ('hands', 'VBZ'), ('to', 'TO'), ('celebrate', 'VB'), ('india', 'JJ'), ('national', 'JJ'), ('tourism', 'NN'), ('day', 'NN')]","[('bpc', 'n'), ('itpf', 'n'), ('join', 'n'), ('hands', 'v'), ('to', 'n'), ('celebrate', 'v'), ('india', 'a'), ('national', 'a'), ('tourism', 'n'), ('day', 'n')]","['bpc', 'itpf', 'join', 'hand', 'to', 'celebrate', 'india', 'national', 'tourism', 'day']"
1,Pokemon Legends: Arceus Has a First Player Mode....Sort Of #URL# #URL#,"['Pokemon', 'Legends:', 'Arceus', 'Has', 'a', 'First', 'Player', 'Mode....Sort', 'Of', '#URL#', '#URL#']",Pokemon Legends: Arceus Has a First Player Mode....Sort Of #URL# #URL#,"['pokemon', 'legends', ':', 'arceus', 'has', 'a', 'first', 'player', 'mode', '...', '.sort', 'of', '#', 'url', '#', '#', 'url', '#']","['pokemon', 'legends', 'arceus', 'has', 'a', 'first', 'player', 'mode', '...', '.sort', 'of', 'url', 'url']","['pokemon', 'legends', 'arceus', 'first', 'player', 'mode', '...', '.sort']","[('pokemon', 'JJ'), ('legends', 'VBZ'), ('arceus', 'NN'), ('first', 'RB'), ('player', 'NN'), ('mode', 'NN'), ('...', ':'), ('.sort', 'NN')]","[('pokemon', 'a'), ('legends', 'v'), ('arceus', 'n'), ('first', 'r'), ('player', 'n'), ('mode', 'n'), ('...', 'n'), ('.sort', 'n')]","['pokemon', 'legends', 'arceus', 'first', 'player', 'mode', '...', '.sort']"
2,"Farmers, opposition protest Spain's rural policies #URL# #URL#","['Farmers,', 'opposition', 'protest', ""Spain's"", 'rural', 'policies', '#URL#', '#URL#']","Farmers, opposition protest Spain's rural policies #URL# #URL#","['farmers', ',', 'opposition', 'protest', 'spain', ""'s"", 'rural', 'policies', '#', 'url', '#', '#', 'url', '#']","['farmers', 'opposition', 'protest', 'spain', ""'s"", 'rural', 'policies', 'url', 'url']","['farmers', 'opposition', 'protest', 'spain', ""'s"", 'rural', 'policies']","[('farmers', 'NNS'), ('opposition', 'NN'), ('protest', 'VBP'), ('spain', 'NN'), (""'s"", 'POS'), ('rural', 'JJ'), ('policies', 'NNS')]","[('farmers', 'n'), ('opposition', 'n'), ('protest', 'v'), ('spain', 'n'), (""'s"", 'n'), ('rural', 'a'), ('policies', 'n')]","['farmer', 'opposition', 'protest', 'spain', ""'s"", 'rural', 'policy']"
3,Washington trooper who defied state vaccine mandate and told gov to 'kiss my a--' dies from COVID-19 #URL# #URL#,"['Washington', 'trooper', 'who', 'defied', 'state', 'vaccine', 'mandate', 'and', 'told', 'gov', 'to', ""'kiss"", 'my', ""a--'"", 'dies', 'from', 'COVID-19', '#URL#', '#URL#']",Washington trooper who defied state vaccine mandate and told gov to 'kiss my a--' dies from COVID-19 #URL# #URL#,"['washington', 'trooper', 'who', 'defied', 'state', 'vaccine', 'mandate', 'and', 'told', 'gov', 'to', ""'kiss"", 'my', 'a', '--', ""'"", 'dies', 'from', 'covid-19', '#', 'url', '#', '#', 'url', '#']","['washington', 'trooper', 'who', 'defied', 'state', 'vaccine', 'mandate', 'and', 'told', 'gov', 'to', ""'kiss"", 'my', 'a', '--', 'dies', 'from', 'covid-19', 'url', 'url']","['washington', 'trooper', 'who', 'defied', 'state', 'vaccine', 'mandate', 'and', 'told', 'gov', 'to', ""'kiss"", 'my', '--', 'dies', 'from', 'covid-19']","[('washington', 'NN'), ('trooper', 'NN'), ('who', 'WP'), ('defied', 'VBD'), ('state', 'NN'), ('vaccine', 'NN'), ('mandate', 'NN'), ('and', 'CC'), ('told', 'VBD'), ('gov', 'NN'), ('to', 'TO'), (""'kiss"", 'VB'), ('my', 'PRP$'), ('--', ':'), ('dies', 'NNS'), ('from', 'IN'), ('covid-19', 'NN')]","[('washington', 'n'), ('trooper', 'n'), ('who', 'n'), ('defied', 'v'), ('state', 'n'), ('vaccine', 'n'), ('mandate', 'n'), ('and', 'n'), ('told', 'v'), ('gov', 'n'), ('to', 'n'), (""'kiss"", 'v'), ('my', 'n'), ('--', 'n'), ('dies', 'n'), ('from', 'n'), ('covid-19', 'n')]","['washington', 'trooper', 'who', 'defy', 'state', 'vaccine', 'mandate', 'and', 'tell', 'gov', 'to', ""'kiss"", 'my', '--', 'dy', 'from', 'covid-19']"
4,"Shang-Chi Star Simu Liu Reveals He Contracted COVID-19 This Year, Encourages Vaccines #URL# #URL#","['Shang-Chi', 'Star', 'Simu', 'Liu', 'Reveals', 'He', 'Contracted', 'COVID-19', 'This', 'Year,', 'Encourages', 'Vaccines', '#URL#', '#URL#']","Shang-Chi Star Simu Liu Reveals He Contracted COVID-19 This Year, Encourages Vaccines #URL# #URL#","['shang-chi', 'star', 'simu', 'liu', 'reveals', 'he', 'contracted', 'covid-19', 'this', 'year', ',', 'encourages', 'vaccines', '#', 'url', '#', '#', 'url', '#']","['shang-chi', 'star', 'simu', 'liu', 'reveals', 'he', 'contracted', 'covid-19', 'this', 'year', 'encourages', 'vaccines', 'url', 'url']","['shang-chi', 'star', 'simu', 'liu', 'reveals', 'he', 'contracted', 'covid-19', 'this', 'year', 'encourages', 'vaccines']","[('shang-chi', 'JJ'), ('star', 'NN'), ('simu', 'NN'), ('liu', 'NN'), ('reveals', 'NNS'), ('he', 'PRP'), ('contracted', 'VBD'), ('covid-19', 'NN'), ('this', 'DT'), ('year', 'NN'), ('encourages', 'VBZ'), ('vaccines', 'NNS')]","[('shang-chi', 'a'), ('star', 'n'), ('simu', 'n'), ('liu', 'n'), ('reveals', 'n'), ('he', 'n'), ('contracted', 'v'), ('covid-19', 'n'), ('this', 'n'), ('year', 'n'), ('encourages', 'v'), ('vaccines', 'n')]","['shang-chi', 'star', 'simu', 'liu', 'reveals', 'he', 'contract', 'covid-19', 'this', 'year', 'encourage', 'vaccine']"
5,Cops investigating assault of homeless man along Jalan Bukit Bintang #URL# #URL#,"['Cops', 'investigating', 'assault', 'of', 'homeless', 'man', 'along', 'Jalan', 'Bukit', 'Bintang', '#URL#', '#URL#']",Cops investigating assault of homeless man along Jalan Bukit Bintang #URL# #URL#,"['cops', 'investigating', 'assault', 'of', 'homeless', 'man', 'along', 'jalan', 'bukit', 'bintang', '#', 'url', '#', '#', 'url', '#']","['cops', 'investigating', 'assault', 'of', 'homeless', 'man', 'along', 'jalan', 'bukit', 'bintang', 'url', 'url']","['cops', 'investigating', 'assault', 'homeless', 'man', 'along', 'jalan', 'bukit', 'bintang']","[('cops', 'NNS'), ('investigating', 'VBG'), ('assault', 'NN'), ('homeless', 'NN'), ('man', 'NN'), ('along', 'IN'), ('jalan', 'JJ'), ('bukit', 'NN'), ('bintang', 'NN')]","[('cops', 'n'), ('investigating', 'v'), ('assault', 'n'), ('homeless', 'n'), ('man', 'n'), ('along', 'n'), ('jalan', 'a'), ('bukit', 'n'), ('bintang', 'n')]","['cop', 'investigate', 'assault', 'homeless', 'man', 'along', 'jalan', 'bukit', 'bintang']"
6,MSNBC deletes tweet slamming conservatives for favoring affirmative action when it benefits them #URL# #URL#,"['MSNBC', 'deletes', 'tweet', 'slamming', 'conservatives', 'for', 'favoring', 'affirmative', 'action', 'when', 'it', 'benefits', 'them', '#URL#', '#URL#']",MSNBC deletes tweet slamming conservatives for favoring affirmative action when it benefits them #URL# #URL#,"['msnbc', 'deletes', 'tweet', 'slamming', 'conservatives', 'for', 'favoring', 'affirmative', 'action', 'when', 'it', 'benefits', 'them', '#', 'url', '#', '#', 'url', '#']","['msnbc', 'deletes', 'tweet', 'slamming', 'conservatives', 'for', 'favoring', 'affirmative', 'action', 'when', 'it', 'benefits', 'them', 'url', 'url']","['msnbc', 'deletes', 'tweet', 'slamming', 'conservatives', 'favoring', 'affirmative', 'action', 'when', 'benefits', 'them']","[('msnbc', 'NN'), ('deletes', 'VBZ'), ('tweet', 'IN'), ('slamming', 'VBG'), ('conservatives', 'NNS'), ('favoring', 'VBG'), ('affirmative', 'JJ'), ('action', 'NN'), ('when', 'WRB'), ('benefits', 'NNS'), ('them', 'PRP')]","[('msnbc', 'n'), ('deletes', 'v'), ('tweet', 'n'), ('slamming', 'v'), ('conservatives', 'n'), ('favoring', 'v'), ('affirmative', 'a'), ('action', 'n'), ('when', 'n'), ('benefits', 'n'), ('them', 'n')]","['msnbc', 'delete', 'tweet', 'slam', 'conservative', 'favor', 'affirmative', 'action', 'when', 'benefit', 'them']"
7,"Chicago gun shop sees skyrocketing sales following lockdowns, crime spikes #URL# #URL#","['Chicago', 'gun', 'shop', 'sees', 'skyrocketing', 'sales', 'following', 'lockdowns,', 'crime', 'spikes', '#URL#', '#URL#']","Chicago gun shop sees skyrocketing sales following lockdowns, crime spikes #URL# #URL#","['chicago', 'gun', 'shop', 'sees', 'skyrocketing', 'sales', 'following', 'lockdowns', ',', 'crime', 'spikes', '#', 'url', '#', '#', 'url', '#']","['chicago', 'gun', 'shop', 'sees', 'skyrocketing', 'sales', 'following', 'lockdowns', 'crime', 'spikes', 'url', 'url']","['chicago', 'gun', 'shop', 'sees', 'skyrocketing', 'sales', 'following', 'lockdowns', 'crime', 'spikes']","[('chicago', 'RB'), ('gun', 'NN'), ('shop', 'NN'), ('sees', 'VBZ'), ('skyrocketing', 'VBG'), ('sales', 'NNS'), ('following', 'VBG'), ('lockdowns', 'JJ'), ('crime', 'NN'), ('spikes', 'NNS')]","[('chicago', 'r'), ('gun', 'n'), ('shop', 'n'), ('sees', 'v'), ('skyrocketing', 'v'), ('sales', 'n'), ('following', 'v'), ('lockdowns', 'a'), ('crime', 'n'), ('spikes', 'n')]","['chicago', 'gun', 'shop', 'see', 'skyrocket', 'sale', 'follow', 'lockdowns', 'crime', 'spike']"
8,"Portuguese Socialists' lead for Jan. 30 election narrows, poll shows #URL# #URL#","['Portuguese', ""Socialists'"", 'lead', 'for', 'January', '30', 'election', 'narrows,', 'poll', 'shows', '#URL#', '#URL#']","Portuguese Socialists' lead for January 30 election narrows, poll shows #URL# #URL#","['portuguese', 'socialists', ""'"", 'lead', 'for', 'january', '30', 'election', 'narrows', ',', 'poll', 'shows', '#', 'url', '#', '#', 'url', '#']","['portuguese', 'socialists', 'lead', 'for', 'january', '30', 'election', 'narrows', 'poll', 'shows', 'url', 'url']","['portuguese', 'socialists', 'lead', 'january', '30', 'election', 'narrows', 'poll', 'shows']","[('portuguese', 'JJ'), ('socialists', 'NNS'), ('lead', 'VBP'), ('january', 'JJ'), ('30', 'CD'), ('election', 'NN'), ('narrows', 'VBZ'), ('poll', 'NN'), ('shows', 'NNS')]","[('portuguese', 'a'), ('socialists', 'n'), ('lead', 'v'), ('january', 'a'), ('30', 'n'), ('election', 'n'), ('narrows', 'v'), ('poll', 'n'), ('shows', 'n')]","['portuguese', 'socialist', 'lead', 'january', '30', 'election', 'narrow', 'poll', 'show']"
9,COVID strikes Kiribati: One of the last uninfected places on Earth #URL# #URL#,"['COVID', 'strikes', 'Kiribati:', 'One', 'of', 'the', 'last', 'uninfected', 'places', 'on', 'Earth', '#URL#', '#URL#']",COVID strikes Kiribati: One of the last uninfected places on Earth #URL# #URL#,"['covid', 'strikes', 'kiribati', ':', 'one', 'of', 'the', 'last', 'uninfected', 'places', 'on', 'earth', '#', 'url', '#', '#', 'url', '#']","['covid', 'strikes', 'kiribati', 'one', 'of', 'the', 'last', 'uninfected', 'places', 'on', 'earth', 'url', 'url']","['covid', 'strikes', 'kiribati', 'one', 'last', 'uninfected', 'places', 'on', 'earth']","[('covid', 'NN'), ('strikes', 'NNS'), ('kiribati', 'VBP'), ('one', 'CD'), ('last', 'JJ'), ('uninfected', 'JJ'), ('places', 'NNS'), ('on', 'IN'), ('earth', 'NN')]","[('covid', 'n'), ('strikes', 'n'), ('kiribati', 'v'), ('one', 'n'), ('last', 'a'), ('uninfected', 'a'), ('places', 'n'), ('on', 'n'), ('earth', 'n')]","['covid', 'strike', 'kiribati', 'one', 'last', 'uninfected', 'place', 'on', 'earth']"
10,Solving a superconducting mystery with more precise computations #URL# #URL#,"['Solving', 'a', 'superconducting', 'mystery', 'with', 'more', 'precise', 'computations', '#URL#', '#URL#']",Solving a superconducting mystery with more precise computations #URL# #URL#,"['solving', 'a', 'superconducting', 'mystery', 'with', 'more', 'precise', 'computations', '#', 'url', '#', '#', 'url', '#']","['solving', 'a', 'superconducting', 'mystery', 'with', 'more', 'precise', 'computations', 'url', 'url']","['solving', 'superconducting', 'mystery', 'with', 'more', 'precise', 'computations']","[('solving', 'VBG'), ('superconducting', 'VBG'), ('mystery', 'NN'), ('with', 'IN'), ('more', 'RBR'), ('precise', 'JJ'), ('computations', 'NNS')]","[('solving', 'v'), ('superconducting', 'v'), ('mystery', 'n'), ('with', 'n'), ('more', 'r'), ('precise', 'a'), ('computations', 'n')]","['solve', 'superconducting', 'mystery', 'with', 'more', 'precise', 'computation']"
11,Dozens of states side with Epic in Apple App Store appeal #URL# #URL#,"['Dozens', 'of', 'states', 'side', 'with', 'Epic', 'in', 'Apple', 'App', 'Store', 'appeal', '#URL#', '#URL#']",Dozens of states side with Epic in Apple App Store appeal #URL# #URL#,"['dozens', 'of', 'states', 'side', 'with', 'epic', 'in', 'apple', 'app', 'store', 'appeal', '#', 'url', '#', '#', 'url', '#']","['dozens', 'of', 'states', 'side', 'with', 'epic', 'in', 'apple', 'app', 'store', 'appeal', 'url', 'url']","['dozens', 'states', 'side', 'with', 'epic', 'in', 'apple', 'app', 'store', 'appeal']","[('dozens', 'NNS'), ('states', 'NNS'), ('side', 'VBP'), ('with', 'IN'), ('epic', 'NN'), ('in', 'IN'), ('apple', 'NN'), ('app', 'NN'), ('store', 'NN'), ('appeal', 'NN')]","[('dozens', 'n'), ('states', 'n'), ('side', 'v'), ('with', 'n'), ('epic', 'n'), ('in', 'n'), ('apple', 'n'), ('app', 'n'), ('store', 'n'), ('appeal', 'n')]","['dozen', 'state', 'side', 'with', 'epic', 'in', 'apple', 'app', 'store', 'appeal']"
12,China manufacturing activity grows at slower pace in January #URL# #URL#,"['China', 'manufacturing', 'activity', 'grows', 'at', 'slower', 'pace', 'in', 'January', '#URL#', '#URL#']",China manufacturing activity grows at slower pace in January #URL# #URL#,"['china', 'manufacturing', 'activity', 'grows', 'at', 'slower', 'pace', 'in', 'january', '#', 'url', '#', '#', 'url', '#']","['china', 'manufacturing', 'activity', 'grows', 'at', 'slower', 'pace', 'in', 'january', 'url', 'url']","['china', 'manufacturing', 'activity', 'grows', 'at', 'slower', 'pace', 'in', 'january']","[('china', 'JJ'), ('manufacturing', 'NN'), ('activity', 'NN'), ('grows', 'VBZ'), ('at', 'IN'), ('slower', 'JJR'), ('pace', 'NN'), ('in', 'IN'), ('january', 'JJ')]","[('china', 'a'), ('manufacturing', 'n'), ('activity', 'n'), ('grows', 'v'), ('at', 'n'), ('slower', 'a'), ('pace', 'n'), ('in', 'n'), ('january', 'a')]","['china', 'manufacturing', 'activity', 'grow', 'at', 'slow', 'pace', 'in', 'january']"
13,Growing concerns about crime in Old Harbour #URL#,"['Growing', 'concerns', 'about', 'crime', 'in', 'Old', 'Harbour', '#URL#']",Growing concerns about crime in Old Harbour #URL#,"['growing', 'concerns', 'about', 'crime', 'in', 'old', 'harbour', '#', 'url', '#']","['growing', 'concerns', 'about', 'crime', 'in', 'old', 'harbour', 'url']","['growing', 'concerns', 'about', 'crime', 'in', 'old', 'harbour']","[('growing', 'VBG'), ('concerns', 'NNS'), ('about', 'IN'), ('crime', 'NN'), ('in', 'IN'), ('old', 'JJ'), ('harbour', 'NN')]","[('growing', 'v'), ('concerns', 'n'), ('about', 'n'), ('crime', 'n'), ('in', 'n'), ('old', 'a'), ('harbour', 'n')]","['grow', 'concern', 'about', 'crime', 'in', 'old', 'harbour']"
