created_at,location,name,text,username
2022-03-31 23:57:45+00:00,,Daniel Larison,"Having followed and written about the general neglect of the war on Yemen for seven years, I am well-aware that the international response to that war has been much slower, weaker, and more muted than what we have seen in just one month since Ukraine was attacked.",DanielLarison
2022-03-31 23:57:38+00:00,,@PerryPerez,"Ukrainians have retaken Irpin from the Russian invaders. But it's a city that now lies in ruins
https://t.co/9duAuz9Bfm",_Win_ston_Smith
2022-03-31 23:57:35+00:00,"Terra bicoastal, ex-expat",pebbleone,"How media turns war into a spectator sport
31 Mar22

The Real News Network
Russian troops invaded Ukraine on Feb 24
people in the West glued to their TV, computer, and phone screens furiously consuming news about war, posting their reactions online.

https://t.co/2bGgz6QFzo https://t.co/Fk4Yttg06p",TACITWR
2022-03-31 23:57:33+00:00,IL & TX,Kallie Rose 🇺🇦🥀🌱,"@marioivargas @jacksonhinklle The demands were made long before the batallions were wiped out. That was very recent.

Ukraine has been in a civil war since 2014. I don't stand with Nazis or separatists.

Russia is dropping phosphorus bombs, killing civilians, just like in Syria. Care to defend their actions?",kallliie_rose
2022-03-31 23:57:22+00:00,"California, USA",Fuji for Congress,"In a vicious Civil War like Ukraine, most assuredly, war crimes have been &amp; continue to be committed by both sides. Ukrainians fighting &amp; killing each other is a humanitarian crisis that must stop for the sake of world peace. The most immediate way, Kyiv must declare neutrality.",fujiforcongress
2022-03-31 23:57:18+00:00,,Samuel Mung Guite,"@peremoga28 People die in war.Both sides die Ukraine has lost lands almost the size of Italy and Russia isn't stopping anytime soon.Every land Ukraine loses and Russia takes,it will belong to Russia for good.Yet,some deluded sections think Ukraine still https://t.co/E1Xv0olRBI.",SamuelMungGuit1
2022-03-31 23:57:11+00:00,,Gare Bear,"@broadcastscot @KpsZSU @NATO Except Ukraine isn't NATO nor is it EU. Ukraine isn't even an official ally. Morally and culturally, the US &amp; NATO are aligned with them, but that doesn't just mean their war is our war. The US/NATO was never going to intervene in a Russo-Ukrainian War and they've always said so.",GareDaBear88
2022-03-31 23:57:07+00:00,SF Bay Area,A. Lizard,"@Sigdrifr 2022/24 elections IRL? 
x GOP victory based on economy,  Biden broken campaign promises, 1M+ COVID dead,
x Attempted Putinification of America &gt; millions of LBGT refugees in CA/MX/EU/Asia &gt; econ meltdown because extreme brain drain + civil war (Ukraine scenario, but worse)",alizardx
2022-03-31 23:57:05+00:00,Greenland,Steen Bangsgaard,@XHNews I have worked in and with China since 1977 and I am so disappointed to note Chinese reluctancy to focus on the Ukrainian war! Ukraine has been attacked and heavily bombed by Russians! Fact it is! Many people have died! How can world leader nation be silent about this as a statue?,Polarbear06044
2022-03-31 23:56:54+00:00,"Auckland, New Zealand",Jerusalem_,"Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most lethal disastrous war is taking place in #Tigray, where food has been weaponized for more than 17 months. #EndTigraySiege @vickyford @SenatorRounds",TDF4L
2022-03-31 23:56:54+00:00,,T.L.,"@phl43 Most people assume Russia wants to defeat Ukraine or take unilateral control of the country. After all, this is what we are used to seeing in modern war.
I disagree and believe Russia is satisfied with the irreversible damage it has already dealt to the American petrodollar.",Via_Columnarum
2022-03-31 23:56:45+00:00,,CathHistory,"@mileslunn I cringe when I hear a politician use term freedom. Other than those who fought in WWII, Korea, Afghan, Gulf War, or peacekeeping, have no idea abt fighting for freedom. Ppl in Ukraine know. We’ve been asked to sit on couch &amp; wear a mask - hardly an infringement on our ‘freedom’.",HistoryCath
2022-03-31 23:56:37+00:00,,Robert Deuchar,".@mirandadevine @jkalbrechtsen @ScottMorrisonMP 

Before the war most people recognised Ukraine as a corrupt country

Now … according to comments in major newspaper it is 'the lion of democracy'",indescripto
2022-03-31 23:56:24+00:00,,Mandar Kagade,War in Ukraine: what explains the calm in global stock markets?  - https://t.co/N67wVTGEdd via @FT,MandarKagade
2022-03-31 23:56:21+00:00,"West Palm Beach, FL",FRANCISCO,"Putin ordering draft of 135,000 amid difficulties in Ukraine war

https://t.co/OcMsbPjE3d",francisco120282
2022-03-31 23:56:16+00:00,"Dallas, Texas",John Wheat Gibson Sr,"@theintercept @RobertMackey ""that Russian forces have committed war crimes during the unprovoked war of aggression in Ukraine...""  ""Unprovoked?""  Sad to see Intercept vomiting CIA propaganda.  Whether response is proportional to provocation is debatable; but not whether U.S. provoked its proxy war.",john_wheat
2022-03-31 23:56:07+00:00,"Ottawa, Ontario",Parliament Today,"PM Watch: On Friday, Prime Minister Justin Trudeau will make an announcement with Nunavut Premieer P.J. Akeeagok and Iqaluit Mayor Kenny Bell.

He will also chair a meeting of the Incident Response Group on the war in Ukraine.

#cdnpoli https://t.co/GrkTDYoy7X",ParlToday
2022-03-31 23:56:05+00:00,Southern California,Bill Sekerak,"Would Putin have been able to fund his invasion of Ukraine if Biden's war on fossil fuels hadn't pushed up prices for oil on the world market as a result of diminished supply ? Is this the "" perfect storm "" of consequences for Biden's interference in the energy market ?",BillSekerak
2022-03-31 23:56:04+00:00,,Joe Kelly,"US Vet Who Volunteered to Fight in Ukraine Details Kiev's War Crimes, Presence of Jihadi Militants

https://t.co/IvgJDzXiRl",joekellyca
2022-03-31 23:56:01+00:00,United States,RS,Seems like Ukraine's birthrate has picked up. Instead of 1 baby in 10 months from a mom? 10 babies from 10 mom's in 1 month. Please look at Ukraine and UK's birthrate before the war. They were about the same. Both regions have birth problems.,yoCRE0que
2022-03-31 23:55:59+00:00,,BS check 🇦🇺 🇺🇦,"“Russia is redeploying elements of its forces from Georgia to reinforce its invasion of Ukraine, British military intelligence said on Thursday.” 
Insurgencies across occupied territories next? #Ukraine #UkraineRussianWar 
https://t.co/b9Vwux47EA",BScheck4
2022-03-31 23:55:55+00:00,,abhay kumar,"Nicholas Goldberg: In Europe, the war in Ukraine raises the question: Is the past really past? https://t.co/YCFt9AeSGD",jeguru1
2022-03-31 23:55:44+00:00,Internet,Europe News Briefly,"The Kosovan War 1998-99 vs The Russian Invasion of Ukraine 2022 The... (This Is Local London)

In light of the recent tragic events in Ukraine, Europe is finding that history is repeating...

Add your highlights:
https://t.co/JWnOVm2ymV
 #Europe #news #euro...",EuropeNews_b
2022-03-31 23:55:41+00:00,,CatoTheYounger,Dave Decamp on Russia’s War in Ukraine and Washington’s Reaction https://t.co/n24OfwMaoJ,catoletters
2022-03-31 23:55:20+00:00,,S T,There’s a literal WAR going on in the #Ukraine https://t.co/KRJChWFWk5,spencer_remade
2022-03-31 23:55:08+00:00,MOON,crypto&NFT&Metaverse news,"cryptocurrency news.

The two sides of the crypto coin in the Russia-Ukraine war - VentureBeat 

 https://t.co/yo0dwHoLlM

#crypto #cryptocurrency #BTC #bitcoin #money",additionalrules
2022-03-31 23:55:07+00:00,By the airlock,🦠crypto_Javik🛢,"""...the more leverage that #China gains over #Russia, the less favourable that is for #India. I don't think anyone would believe that if China once again breaches the Line of Actual Control, Russia would come running to India's defence,""—US Dep. NSA Singh

https://t.co/PUexR029qm",crypto_Prothean
2022-03-31 23:55:01+00:00,,The Racket News,"The young, military-age males dying in droves in Ukraine are the key to Russia’s demographic future. 

By @captainkudzu
https://t.co/zAawEl9mjv",NewsRacket
2022-03-31 23:54:46+00:00,Zurich,swissbusiness,"Where is South Ossetia and why does it want to join Russia? (Washington Post)

Russia's war in Ukraine has rattled Europe, revived the NATO military alliance and helped re...

Add your highlights:
https://t.co/3azHfn8fv3
 #Europe #news #euro...",swissbusiness
2022-03-31 23:54:46+00:00,,whoknew,"The difference between official and popular reaction to war in Ukraine vs. the reaction to wars in Yemen or Syria or (take your pick) is large and undeniable. If you can't even acknowledge that difference for whatever reason, that doesn't make it a myth.",whoknew9
2022-03-31 23:54:34+00:00,"Melbourne, Victoria, Australia",SWiM Exchange,Swiss Envoy Sees Lesson for Democracies in Ukraine War - Voice of America - VOA News https://t.co/XsHwvUZt0k,ExchangeSwim
2022-03-31 23:54:31+00:00,,Will Ritter,"@FrankLuntz @DavidWestin Hey @DavidWestin @FrankLuntz! 

Yes @POTUS didn't create the problems. 

If he DELIVERED  what Ukrainians need to DEFEAT Putin he could END the WAR in @Ukraine. 

That ACT of ENABLEMENT would directly impact inflation &amp; global stability. 

Joe - HELP UKRAINE WIN! 

Stop DITHERING",RittOnTwitt75
2022-03-31 23:54:18+00:00,"Burlington, MA",Lucy,‘The cryptocurrency world will help in this war’: Kuna CLO breaks down Ukraine’s digital asset law https://t.co/F1iOT1Y9n5,lucycookiz
2022-03-31 23:54:18+00:00,"New York, USA",Melody,"@nataliabugayova @TheStudyofWar This hawkish view that Ukraine should try to continue the war is going to be a tough sell in the West, which could slash its support. 

I don't buy the ""Putin as Jesus"" argument either. Putin can want whatever he wants... that doesn't mean he's going to get it.",Melody7473
2022-03-31 23:54:18+00:00,Democratic America,Stan Americana,@natashasrussia @RealScottRitter He seems to be repeating Russian disinformation https://t.co/8v0kdAZLwk,americana_stan
2022-03-31 23:54:09+00:00,Wanderer,Soul_Searching,"@mhmck @CraigZwaan Enough is enough, Send in the troops. Stop Putins war. #UkraineUnderAttaсk #Ukraine #StopPutin #sendinthetroops",elav8tor
2022-03-31 23:54:07+00:00,Berlin,Clean Energy Wire,"@NavaiBaku The U.S. started the resentment on the part of Putin, in 2014, when they installed Zelensky. I hate to see the suffering as a result of this war.  https://t.co/wBt9kKl0Rb",cleanenergywire
2022-03-31 23:54:06+00:00,"Edinburgh, Scotland",Wes Morrison,"Video of woman accusing Ukraine of war crimes in Mariupol was a fake made by Russia's FSB spy agency, report says https://t.co/rzR18eBWw6",WesMorrison8
2022-03-31 23:54:02+00:00,"Texas, USA",Eugene Trevino,"@smashthestate20 @RSVPMagazine Africa - Palestine - Afghanistan - Iran - Yemen - Asia - What makes you believe that "" we've got "" a war going on in Ukraine is so paramount that we can't think or discuss anything else but the Ukraine?",EugeneTrevino73
2022-03-31 23:54:00+00:00,,Kimi Arvin,"RWE switches off lignite unit according to coal exit plan but conserves it in case of emergency

Because of the Ukraine war &amp; possible gas shortages, @RWE_AG will make sure the plant can be recommissioned in case it's needed to ensure security of supply.

https://t.co/72R0o7pIS7 https://t.co/ef732fq1fS",ArvinKimi
2022-03-31 23:53:49+00:00,"Phila., Pa/Orlando, FL",Linda#DemCast#Ω,"@DestinLegarie I mean, there's a war going on over in Ukraine.",linda_wed1
2022-03-31 23:53:35+00:00,"""Boston Area""",Ian Lamont 藍毅恩,"WHAT A HYPOCRITE!!

@SenTedCruz voted AGAINST sending aid to help Ukraine, who's in a war with Russia, but wants to ACT sympathetic to Venezuela.
@tedcruz is the greatest hypocritical asshole amongst the @GOP https://t.co/xhSeggAl0Z",ilamont
2022-03-31 23:53:19+00:00,,ShoutBlock - Blockchain & Crypto Made Simple,"@OstrivGame What a wonderful painting for someone so young!! Now you have a helper to assist with character models in Ostriv! 😋🥰
I can't wait until Ukraine wins the war 🇺🇦 - it would be awesome to see what you guys can come up with together!! 💛💙",Shoutblockcom
2022-03-31 23:53:16+00:00,Europe 🇪🇺,medusa,"What is the end goal?

Putin’s Truth-Twisters and Non-War in Ukraine https://t.co/B9LTkUXNC4

#BlueVoices

#wtpBLUE",_m3dvsa_
2022-03-31 23:53:11+00:00,"Quail Run, Fremont, CA 94555",danwilliamson12345@gmail.com MMA/boxing/News,"""We all have to think about the future. About what Ukraine will be like after this war. How we will live. Because this is a war for our future. This is a war for our lives, in which we have only one way - to gain peace for Ukraine. To gain Ukraine's security."" #UkraineWar",dw504966
2022-03-31 23:53:10+00:00,Internet,Louise Howard,‘The cryptocurrency world will help in this war’: Kuna CLO breaks down Ukraine’s digital asset law https://t.co/L4LxtWdDau,louise01067
2022-03-31 23:53:04+00:00,"Los Angeles, CA",Jynx Prado (Mx. Prado),"@TheStudyofWar Enough is enough, Send in the troops. Stop Putins war. #UkraineUnderAttaсk #Ukraine #StopPutin #sendinthetroops",JynxPrado
2022-03-31 23:52:58+00:00,,Lilpissant,"@SenTedCruz @MariaCorinaYA WHAT A HYPOCRITE!!

@SenTedCruz voted AGAINST sending aid to help Ukraine, who's in a war with Russia, but wants to ACT sympathetic to Venezuela.
@tedcruz is the greatest hypocritical asshole amongst the @GOP",Lilpissant
2022-03-31 23:52:53+00:00,Canada,Wyatt Bearp 🇨🇦,"@FIFAcom if #Ukraine ambassador request of hate is supported isolating Russia even more, if sport is used for war as culture and science has been in last days in this USA operation against world community and for USA to buy out Europe, you will be accountable for #escalation",LBearp
2022-03-31 23:52:49+00:00,,Gail Melnick,"Biden suggests Putin has confined or fired his closest allies as Russia's disastrous war continues in Ukraine, but no 'hard evidence' https://t.co/6qg65Iovmj via @businessinsider",Chloe19107
2022-03-31 23:52:44+00:00,"Central Coast, New South Wales",OBBY,POLITICS: Biden’s $5.8T budget proposes one of the ‘largest’ investments in US national security amid war in Ukraine – U-S- https://t.co/m9kTsIStJn,OBBY001
2022-03-31 23:52:43+00:00,FuckingRedStateUSA,Mad Pussycat,Anyone notice since the slap the Russian Ukraine war suddenly isn't in Hollywood's eye anymore? Now you just see the people involved in it post thats it,meow2438
2022-03-31 23:52:36+00:00,,Noah Rubin,@theJagmeetSingh The arms CEOs and Corps been exploiting the civil war in Ukraine for 8 years while you ignored it. Now that Russia decided to end the CEOs party in Ukraine you're calling for taxpayers to give $ to keep the war going and Ukrainians dying. Warpig politics. https://t.co/NL0pVFPBbs,EdArkCentral
2022-03-31 23:52:31+00:00,Cauli-fornia,Cameron Kuss Green Left-banger Grunt,UKRAINE TO US: 'We had such a beautiful life': Ukrainian family finds new beginning in America after fleeing war https://t.co/dIU6rBzgzP via @Yahoo,CameronKuss
2022-03-31 23:52:28+00:00,,calmRushn,@BBCWorld “Russian Invasion of Ukraine” not “War in Ukraine”. #wordsmatter,fckutvvitter
2022-03-31 23:52:22+00:00,,Tony Vincent,"@CNNPolitics How many more Lives have to be taken
In this Ukraine War against Putin’s atrocities?",TonyVin29888456
2022-03-31 23:52:15+00:00,"Eagle Pass, Texas",EP Business Journal,"Wow! Putin has already lost the war in Ukraine and is weaker than a month ago, the head of Britain's armed forces Admiral Tony Radikan declared today after it emerged demoralised Russian troops are refusing orders and are sabotaging their own equipment https://t.co/aijAbR7luN",epbusiness
2022-03-31 23:52:06+00:00,Kampala - Uganda,ugnews24,Nuclear power plant in northern Ukraine illustrates perils of war - The Washington Post https://t.co/J4ZIy4caax,ugnews24
2022-03-31 23:52:05+00:00,,NO WAR / ABOLISH NATO,"In European Classrooms, Questions About a War So Close to Home https://t.co/5535A4Xtfd",vvage_labor
2022-03-31 23:52:01+00:00,,marky,"Sure, Vladimir Putin is accused of slaughtering children and committing various other war crimes in Ukraine. But that doesn’t mean Donald Trump won’t ask him to dig up dirt on a political opponent. Again. https://t.co/E4rzIyljGA via @HuffPostPol 
YGTBSM!
NEED THOSE TWO LOCKED UP!",marky06343771
2022-03-31 23:51:56+00:00,"Boise, ID",RANDYS777,@farmer_rural @Z_Irina_V It does very matter. Nazism in Ukraine is one of the reasons which was led to this war.,RandySevy
2022-03-31 23:51:41+00:00,"Gori, Georgia ",Communist Rabbit ☭,"BIDEN IS THE ONE BEHIND THIS WAR JUST TO HIDE THE CRIMINAL ACTIVITY HIS SON HAS BEEN DOING IN UKRAINE.
https://t.co/0lmxIy2HuF",lIikepussy
2022-03-31 23:51:39+00:00,,Betty Jones,"Texas power grid, energy sectors facing elevated Russian cyber threats during war in Ukraine https://t.co/CFd4o1tblQ",BettyJo82320341
2022-03-31 23:51:14+00:00,Southport,Paul Foley #JohnsonOut_66 #Ukraine_36,Swiss Envoy Sees Lesson for Democracies in Ukraine War https://t.co/8pGKjUd0NI,fachfarm
2022-03-31 23:51:10+00:00,,Soliyana Kassa,"“If you lived here, you’d be home by now.” Except it’s “If Ukraine were in NATO we’d be in World War III by now.”",SoliyanaKassa
2022-03-31 23:51:09+00:00,,BlackCentaurFX,@scrowder @scrowder please make a video covering the true story of Ukrainian soldiers shooting russian prisoners in the legs while they are hog tied! The propaganda media won't cover it. https://t.co/AauaITYzZA,BlackCentaurFX
2022-03-31 23:51:08+00:00,"Woodside, California",Matt Dubuc,The New World Order That Is Being Prepared Under the Pretext of War in Ukraine https://t.co/frwdkkEK6z,mjd1735
